PESQUISADOR,DESCRIÇÃO
Antonio Misson Godoy,"Jefferson Cassu Manzano. CARACTERIZAÇÃO PETROGRÁFICA E GEOQUÍMICA DOS GRANITÓIDES BRASILIANOS E DAS ROCHAS ENCAIXANTES DA FAIXA DE DOBRAMENTOS PARAGUAI, MS E MT..
						2009.

					Dissertação  (Mestrado em Geociências Geologia Regional Rio Claro)  - Universidade Estadual Paulista Júlio de Mesquita Filho, Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Larissa M B A Ruiz. Caracterização Petrográfica, Geoquímica e Geocronológica (U/PB e Rr/Ar ) do Maciço Sararé - Nova lacerda.
						2003. 100 f.

					Dissertação  (Mestrado em Geociências Geologia Regional Rio Claro)  - Universidade Estadual Paulista Júlio de Mesquita Filho, Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Julio Cesar de Pinheiro Arrais. Caracterização Tecnológica do Granito Preto Piracaia, SP: Estudo Previsional como Rocha Ornamental..
						2001. 100 f.

					Dissertação  (Mestrado em Geociências Geologia Regional Rio Claro)  - Universidade Estadual Paulista Júlio de Mesquita Filho, Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Otávio Augusto Ruiz Paccola VIEIRA.
						Geologia das Rochas Ígneas Meso- a Neoproterozoicas associadas a Formação aguas Claras no Estado de São Paulo.
						2021. Tese
					 (Doutorado em Geociências Geologia Regional Rio Claro)  - Universidade Estadual Paulista Júlio de Mesquita Filho, Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Jesué Antonio da Silva.
						CARACTERIZAÇÃO GEOLÓGICA E TECNOLÓGICA DE UNIDADES GNÁISSICAS E GRANÍTICAS DE MATO GROSSO PARA FINS DE EXPLORAÇÃO COMO ROCHAS ORNAMENTAIS OU DE REVESTIMENTO.
						2009. Tese
					 (Doutorado em Geociências Geologia Regional Rio Claro)  - Universidade Estadual Paulista Júlio de Mesquita Filho, Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Larissa Marques Barbosa de Araújo.
						EVOLUÇÃO DO MAGMATISMO DO DOMÍNIO CACHOEIRINHA: SUÍTES INTRUSIVAS SANTA CRUZ, ALVORADA, RIO BRANCO E SALTO DO CÉU?SW DO CRÁTON AMAZÔNICO ? MT..
						2008. Tese
					 (Doutorado em Geociências Geologia Regional Rio Claro)  - Universidade Estadual Paulista Júlio de Mesquita Filho, Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Julio Cesar de Pinheiro Arrais.
						Caracterização Tecnológica de Rochas Ornamentais dos Maciços Granitóides Soreocaba, São Francisco, Sáo Roque, Ibiúna e Piedade , Sudeste do Estado de São Paulo.
						2006. 245 f. Tese
					 (Doutorado em Geociências Geologia Regional Rio Claro)  - Universidade Estadual Paulista Júlio de Mesquita Filho, Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Tânia Gomes Fernandes.
						Bases Geológicas e Tecnológicas para Otimização dos Quartzitos São Tomé em Revestimentos..
						2002. 130 f. Tese
					 (Doutorado em Geociências Geologia Regional Rio Claro)  - Universidade Estadual Paulista Júlio de Mesquita Filho, Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Isabella Maria Wonsik Dalbelo.
						GEOQUÍMICA E QUÍMICA MINERAL DAS ROCHAS GRANÍTICAS DO STOCK SÃO MIGUEL ARCANJO, SUDOESTE DO ESTADO DE SÃO PAULO.
						2023.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Leandro Guerra Faria.
						GEOQUÍMICA E QUÍMICA MINERAL DAS ROCHAS GRANÍTICAS DOS STOCKS PILAR DO SUL E SERRA DOS LOPES, SUDOESTE DO ESTADO DE SÃO PAULO..
						2023.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
